id,timestamp,groupid,from_mac,to_mac,sensorvalue_a,sensorvalue_b,sensorvalue_c,sensorvalue_d,sensorvalue_e,sensorvalue_f
8182,2024-12-02 10:11:15,160,0,0,1505.0,1391.0,1802.0,1.0,0.0,0
8183,2024-12-02 10:11:16,160,0,0,1516.0,1386.0,1807.0,1.0,0.0,0
8184,2024-12-02 10:11:16,160,0,0,1507.0,1392.0,1806.0,1.0,0.0,0
8185,2024-12-02 10:11:17,160,0,0,1513.0,1384.0,1802.0,1.0,0.0,0
8186,2024-12-02 10:11:17,160,0,0,1512.0,1388.0,1802.0,1.0,0.0,0
8187,2024-12-02 10:11:18,160,0,0,1506.0,1388.0,1807.0,1.0,0.0,0
8188,2024-12-02 10:11:18,160,0,0,1511.0,1390.0,1807.0,1.0,0.0,0
8189,2024-12-02 10:11:19,160,0,0,1515.0,1388.0,1802.0,1.0,0.0,0
8190,2024-12-02 10:11:19,160,0,0,1508.0,1387.0,1806.0,1.0,0.0,0
8191,2024-12-02 10:11:20,160,0,0,1509.0,1388.0,1803.0,1.0,0.0,0
8192,2024-12-02 10:11:20,160,0,0,1516.0,1390.0,1803.0,1.0,0.0,0
8193,2024-12-02 10:11:21,160,0,0,1514.0,1387.0,1810.0,1.0,0.0,0
8194,2024-12-02 10:11:21,160,0,0,1507.0,1388.0,1803.0,1.0,0.0,0
8195,2024-12-02 10:11:22,160,0,0,1508.0,1387.0,1807.0,1.0,0.0,0
8196,2024-12-02 10:11:22,160,0,0,1508.0,1386.0,1805.0,1.0,0.0,0
8197,2024-12-02 10:11:23,160,0,0,1509.0,1387.0,1807.0,1.0,0.0,0
8198,2024-12-02 10:11:23,160,0,0,1509.0,1390.0,1802.0,1.0,0.0,0
8199,2024-12-02 10:11:24,160,0,0,1511.0,1390.0,1804.0,1.0,0.0,0
8200,2024-12-02 10:11:24,160,0,0,1510.0,1386.0,1803.0,1.0,0.0,0
8201,2024-12-02 10:11:25,160,0,0,1509.0,1384.0,1800.0,1.0,0.0,0
8202,2024-12-02 10:11:25,160,0,0,1510.0,1384.0,1804.0,1.0,0.0,0
8203,2024-12-02 10:11:26,160,0,0,1512.0,1388.0,1803.0,1.0,0.0,0
8204,2024-12-02 10:11:26,160,0,0,1510.0,1388.0,1803.0,1.0,0.0,0
8205,2024-12-02 10:11:27,160,0,0,1509.0,1393.0,1804.0,1.0,0.0,0
8206,2024-12-02 10:11:27,160,0,0,1514.0,1384.0,1807.0,1.0,0.0,0
8207,2024-12-02 10:11:28,160,0,0,1510.0,1386.0,1804.0,1.0,0.0,0
8208,2024-12-02 10:11:28,160,0,0,1509.0,1385.0,1805.0,1.0,0.0,0
